,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,column10,Company/Brand,What it does,Amount($),Company Name,Industry,Round/Series,Location,About Company
1139,Gobbly,2019.0,Gurugram,Retail,A 24x7 automated retail store filled with daily essentials.,"Ankur Agarwal, Amit Ahuja","Anicut Angel Fund, Sauce.VC",$900000,Pre-series A,,,,,,,,,
1140,HexaHealth,2019.0,Mumbai,Healthtech,H2D is the most trusted online platform that connects the finest experts with people aspiring to achieve their Health Goals in a holistic way,"Vikas Chauhan, Ankur Gigras, Dr Aman Priya Khanna","Omidyar Network India, Chiratae Ventures",$4500000,Seed,,,,,,,,,
1141,Eupheus Learning,2017.0,New Delhi,E-learning,Offer pedagogically differentiated technology driven solutions that lead to critical thinking and achievement of higher learning outcomes,"Sarvesh Shrivastava, Ved Prakash Khatri, Amit Kapoor",Lightrock India,$10000000,Series C,,,,,,,,,
1143,Anar,2019.0,Mumbai,Information Technology & Services,Anar Business Community App is a platform where businesses can create their free profile and grow their business network all over India.,"Nishank Jain, Sanjay Bhat","Elevation Capital, Accel India",$6200000,Seed,,,,,,,,,
1144,Shadez,2019.0,Mumbai,Consumer Services,"Smart painting process, latest automatic tools and professional painters make the process faster than any other conventional process of painting .","Adarsh Anand, Amit Tiwari",Inflection Point Ventures,$200000,Pre-series A,,,,,,,,,
1145,Vahan,2016.0,Bangalore,Information Technology & Services,"Help companies such as Zomato, Swiggy, Flipkart, Uber, Shadowfax etc. hire blue-collar workers and are on track to become India's largest recruitment platform.",Madhav Krishna,Khosla Ventures,$8000000,Series A,,,,,,,,,
1146,MPL,2018.0,Bangalore,sports,"Mobile Premier League (MPL), is India’s largest eSports and mobile gaming platform, with over 50+ games on its app on iOS and Android, and over 60 million users in India.","Sai Srinivas Kiran GV, Shubh Malhotra",Legatum Capital,$,Series E,,,,,,,,,
1149,Artium Academy,2021.0,Mumbai,Music,Artium Academy is an Online Music Education platform that makes learning fun and accessible to people of all ages.,"Ashish Joshi, Nithya Sudhir","Sonu Nigam, Whiteboard Capital",$750000,Seed,,,,,,,,,
1150,Awon GameZ,2020.0,Noida,Gaming,"An online platform on which developers can host their games and gamers can come together as a community to enjoy experiences, compete, challenge and win!",Amardeep Bajpai,Aditya Duggar,$2000000,Seed,,,,,,,,,
1151,Ayu Health,2019.0,Bangalore,"Health, Wellness & Fitness",Ayu Health is a network of high quality hospitals focused on providing high quality healthcare for all.,"Himesh Joshi, Arijit Gupta, Karan Gupta","Vertex Ventures, Stellaris Venture Partners",$6300000,Series A,,,,,,,,,
1152,Apna,2019.0,Bangalore,Recruitment,India's largest professional networking & job opportunities platform for the rising workforce.,Nirmit Parikh,Tiger Global,$100000000,Series C,,,,,,,,,
1153,BharatAgri,2017.0,Bangalore,AgriTech,Provide personalized farm solution to the farmers. Only app to provide actionable insights based on weather changes.,"Sai Gole, Siddharth Dialani","Omnivore, India Quotient",$6500000,Series A,,,,,,,,,
1154,Flatheads,2018.0,Bangalore,Apparel & Fashion,Flatheads are an enthusiastic team of young professionals building a retail brand in the casual footwear space.,"Utkarsh Biradar, Ganesh Balakrishnan","We Founder Circle, Dexter Angels",$1000000,Pre-series A,,,,,,,,,
1158,Paytail,2020.0,New Delhi,Financial Services,Paytail is revolutionizing the offline commerce by enabling instant paperless EMI's to consumers,"AMIT CHATURVEDI, Vikas Garg",Cholamandalam,$1500000,Seed,,,,,,,,,
1159,4Fin,2021.0,Pune,Financial Services,4Fin is a Fintech Platform catering to needs of Smart Bharat.,"Amit Tewary, Ajit Sinha",Curesense Therapeutics,$1100000,Pre-seed,,,,,,,,,
1162,immunitoAI,2020.0,Bangalore,Biotechnology,Perform Antibody Discovery using Artificial Intelligence.,"Aridni Shah, Trisha Chatterjee",pi Ventures,$1000000,Seed,,,,,,,,,
1164,Farmers Fresh Zone,2015.0,Kochi,AgriTech,D2C Health and Wellness Brand for Fresh and Safe Fruits and Vegetables from farmers through traceable Supply Chain,Pradeep PS,"IAN Fund, Malabar Angel Network, Native Angel Network",$800000,Pre-series A,,,,,,,,,
1165,Anveshan,2019.0,Bangalore,Food Production,Revolutionizing the food industry through technology by providing high-quality traceable food products,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa","DSG Consumer Partners, Titan Capital",$500000,Seed,,,,,,,,,
1166,OckyPocky,2015.0,Gurugram,EdTech,OckyPocky is India's 1st interactive English learning app for preschool kids.,Amit Agrawal,"Sujeet Kumar, SucSEED Indovation Fund",$Undisclosed,Seed,,,,,,,,,
1167,Coutloot,2016.0,Mumbai,Consumer Services,"Empowering local markets to sell online socially, our mission is to bring 25M sellers online by 2023","Mahima Kaul, Jasmeet Thind","Ameba Capital, 9Unicorns",$8000000,Pre-series,,,,,,,,,
1168,Nova Benefits,2020.0,Bangalore,"Health, Wellness & Fitness",Nova Benefits is the one stop tech platform for providing the best health and wellness benefits to employees.,"Saransh Garg, Yash Gupta","Susquehanna International Group, Bessemer Venture Partners",$10000000,Series A,,,,,,,,,
1169,HomeLane,2014.0,Bangalore,Interior Design,"Tech-empowered teams have delivered over 20,000 homes across 16 cities over the last 7 years.",Srikanth Iyer,"IIFL AMC, Oman India Joint Investment Fund",$50000000,Series E,,,,,,,,,
1171,Jar,2021.0,Bangalore,FinTech,A daily gold-savings app that saves spare change & auto-invests.,"Nishchay AG, Misbah Ashraf","Tribe Capital, Arkam Ventures, WEH, Kunal Shah",$4500000,Pre-series A,,,,,,,,,
1175,Skit,2016.0,Bangalore,AI startup,Enabling enterprises to automate their contact centre operations using Voice AI.,"Sourabh Gupta, Akshay Deshraj",Westbridge Capital,$23000000,Series B,,,,,,,,,
1176,Peak,2014.0,Information Technology & Services,"Manchester, Greater Manchester",Peak helps the world's smartest companies put the power of AI at the center of all commercial decision making with Decision Intelligence,Atul Sharma,SoftBank Vision Fund 2,$75000000,Series C,,,,,,,,,
1178,Dezerv.,2021.0,Mumbai,Investment Management,"Integrated Portfolios designed by experts with decades of investing, Unique access to pre-IPO and startup investing","Sandeep Jethwani, Vaibhav Porwal, Sahil Contractor","Elevation Capital, Matrix Partners India",$7000000,Seed,,,,,,,,,
1179,AppsForBharat,2020.0,Bangalore,Product studio,"A mission to assist a billion Indians in their spiritual journey, through a range of products & services",Prashant Sachan,Elevation Capital,$10000000,Series A,,,,,,,,,
1180,Habbit,2020.0,Bangalore,EdTech,Habbit is online learning community for anyone looking to get mentored in a skill or hobby of their choice.,"Somnath Sandeep, Raghav Goyal",Ashok Goyal,$320000,Pre-seed,,,,,,,,,
1181,Bikayi,2019.0,Hyderabad,E-commerce,Empowering SMBs in India,"Sonakshi Nathani, Ashutosh Singla",Sequoia Capital India,$10000000,Series A,,,,,,,,,
1183,Dukaan,2020.0,Bangalore,Retail,"Help forward thinking entrepreneurs by providing them the platform to start, grow, and manage their business online.","Suumit Shah, Subhash Choudhary","HOF Capital, Old Well Ventures, LetsVenture, 9Unicorns",$11000000,Series A,,,,,,,,,
1184,Vidyakul,2017.0,Gurugram,EdTech,Vidyakul is a group of academic experts.,"Tarun Saini, Gaurav Singhvi",We Founder Circle,$500000,Bridge,,,,,,,,,
1185,Goodmylk,2015.0,Bangalore,Food & Beverages,Make plant-based food affordable and accessible in India.,Abhay Rangan,"Jinisha Sharma, Aditya Agarwal, Victoria, Abhishek Shroff",$1000000,Seed,,,,,,,,,
1186,Fieldproxy,2016.0,Chennai,SaaS startup,Fieldproxy is a no-code platform that helps field servicing companies digitize their processes to better manage their on-ground technicians,"Swaroop Vijayakumar, Balakrishna B","LetsVenture, 2am VC, magic.fund",$200000,Seed,,,,,,,,,
1188,Elixia Tech Solutions,2011.0,Mumbai,Information Technology & Services,End to End Logistics Automation Expert,Sanket Sheth,Rajasthan Venture Capital Fund,$1000000,Pre-series A,,,,,,,,,
1189,bitsCrunch,2020.0,Chennai,Blockchain,A consulting firm focused mainly on Data Analytics and DevOps.,Saravanan Jaichandaran,"Covalent, Double Peak, GenBlock Capital, Ledger Prime, MEXC Global, Synaps",$700000,Seed,,,,,,,,,
1190,Prolgae,2016.0,The Nilgiris,Biotechnology,Prolgae Spirulina Supplies Pvt. Ltd. is a Nordic-India joint operating company.,Aakas Sadasivam,Vijayan,$200000,Seed,,,,,,,,,
1191,Biddano,2016.0,Pune,"Health, Wellness & Fitness",India's first tech-enabled healthcare logistics platform.,"Talha Shaikh, Ashok Yadav","Gokul Rajaram, JPIN, Venture Catalysts UK, AngelList",$2000000,Pre-series A1,,,,,,,,,
1194,Neokred,2019.0,Bangalore,FinTech,Democratizing Open Banking,"Tarun Nazare, Rohith Reji","Virenxia Group, Rajesh Jain, Nitin Agarwal",$500000,Seed,,,,,,,,,
1195,Delhivery,2011.0,Gurugram,Logistics & Supply Chain,Delhivery is a leading logistics and supply chain services company in India.,Sahil Barua,Addition,$76000000,Series I,,,,,,,,,
1196,Flipspaces,2011.0,Mumbai,Design,"Flipspaces is a global tech-enabled venture towards discovery, design and delivery of commercial and residential spaces",Kunal Sharma,Prashasta Seth,$2000000,Pre-series B,,,,,,,,,
1197,Fleek,2021.0,Bangalore,Internet,Fleek helps track & manage subscriptions in one place.,"Aditya Uttaravalli, Arvind Eashwar",Axilor,$1000000,Seed,,,,,,,,,
1198,GoKwik,2020.0,New Delhi,Information Technology & Services,GoKwik is a platform for solving shopping experience problems on e-commerce websites on the internet.,"Ankush Talwar, Chirag Taneja, Vivek Bajpai","Matrix Partners India, Jitendra Gupta, RTP Global",$5000000,Pre-series A,,,,,,,,,
1199,Proeon,2018.0,Pune,Food Production,"Innovating plant protein ingredients with superior nutrition, sensory and functional profiles from farm to formulation.","Ashish Korde, Kevin Parekh","Shaival Desai, Flowstate Ventures",$2000000,Seed,,,,,,,,,
1200,InfyU Labs,2019.0,Gandhinagar,AgriTech,InfyU Labs is a team of dedicated professionals from various fields of engineering with a common goal of making chemical-free fruits and vegetables accessible to everyone.,"Amit Srivastava, Ankit Chauhan",IAN,$200000,Seed,,,,,,,,,
1201,TechEagle,2015.0,Gurugram,Aviation & Aerospace,"Safe, secure & reliable On-Demand Drone delivery network for medical, parcel & essential items",Vikram Singh Meena,India Accelerator,$500000,Seed,,,,,,,,,
1203,Cogos Technologies,2016.0,Bangalore,Logistics & Supply Chain,A smart-tech-enabled platform offering a one-stop destination for all the intra-city link-supply chain.,Prasad Sreeram,Transworld Group,$2000000,Pre-series A,,,,,,,,,
1204,Gigforce,2019.0,Gurugram,Staffing & Recruiting,A gig/on-demand staffing company.,"Chirag Mittal, Anirudh Syal",Endiya Partners,$3000000,Pre-series A,,,,,,,,,
1205,Vahdam,2015.0,New Delhi,Food & Beverages,VAHDAM is among the world’s first vertically integrated online-first tea brands.,Bala Sarda,IIFL AMC,$20000000,Series D,,,,,,,,,
1206,Leap Finance,2019.0,Bangalore,Financial Services,International education loans for high potential students.,"Arnav Kumar, Vaibhav Singh",Owl Ventures,$55000000,Series C,,,,,,,,,
1207,CollegeDekho,2015.0,Gurugram,EdTech,"Collegedekho.com is Student’s Partner, Friend & Confidante, To Help Him Take a Decision and Move On to His Career Goals.",Ruchir Arora,"Winter Capital, ETS, Man Capital",$26000000,Series B,,,,,,,,,
1208,WeRize,2019.0,Bangalore,Financial Services,India’s first socially distributed full stack financial services platform for small town India,"Vishal Chopra, Himanshu Gupta","3one4 Capital, Kalaari Capital",$8000000,Series A,,,,,,,,,
1,,2014.0,Mumbai,Edtech,,"Adamas Belva Syah Devara, Iman Usman.",General Atlantic,,Series C,,Ruangguru,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students","$150,000,000",,,,,
3,,2014.0,Chennai,Interior design,,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",,Series D,,HomeLane,Provides interior designing solutions,"$30,000,000",,,,,
7,,2013.0,Noida,Technology,,"Pavan Kushwaha, Paratosh Bansal, Dip Jung Thapa","Gilda VC, Art Venture, Rajeev Chitrabhanu.",,Pre series A,,Kratikal,It is a product-based cybersecurity solutions provider,"$1,000,000",,,,,
9,,2010.0,Delhi,E-commerce,,"Peyush Bansal, Amit Chaudhary, Sumeet Kapahi",SoftBank,,Series G,,Lenskart,It is a eyewear company,"$275,000,000",,,,,
12,,2018.0,Chennai,Fintech,,"Puneet Gupta, Sucharita Mukherjee",Oikocredit,,Series A,,Kaleidofin,Platform that provides complete financial solutions for excluded individuals and households,"$5,000,000",,,,,
17,,2015.0,Bangalore,Fintech,,"Chapman, Priya Sharma, Ashish Anantharaman",Goldman Sachs.,,Series B,,Zest Money,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,"$15,000,000",,,,,
19,,2018.0,Gurugram,Health,,"Mohammed, Shashwat Diesh","Kunal Bahl, Rohit Bansal.",,Pre series A,,Azah Personal Care Pvt. Ltd.,Aims to solve some problems in the feminine hygiene sector,Undisclosed,,,,,
25,,2019.0,Delhi,SaaS,,"Arihant Jain, Ajeet Kushwaha",Sequoia Capita,,Seed funding,,Seekify,Customer Experience (CX) Automation platform,"$1,500,000",,,,,
26,,2017.0,Haryana,Insurance technology,,"Nishant Jain, Rohan Kumar",IVM Intersurer,,Series A,,Toffee Insurance,Provides variety of insurance plans and policies,"$5,500,000",,,,,
28,,2015.0,Bangalore,Foodtech,,"Sandipan Mitra, Uttam Kumar","Paytm, Asian VC fund NPTK, Sabre Partners, Neoplux.",,Series C,,HungerBox,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias","$12,000,000",,,,,
35,,2017.0,Gurugram,Travel,,"Vivek Prabhakar, Boris Zha","Korea Investment Partners (KIP), Samsung Venture Investment Corporation (SVIC), UOB Venture, 10 Fund, CVCapital, Zero2IPO Ventures, M&S Partners",,Series B+,,HappyEasyGo,Online flight booking,"$49,400,000",,,,,
36,,2018.0,Bangalore,Manufacturing,,"Amit Acharya, Srinath Ramakkrushnan","Lightspeed and Greenoaks Capital, Sequoia India, Accel and Kae Capital",,Series B,,Zetwerk,Provides facilities to get products manufactured.,"$32,000,000",,,,,
38,,2016.0,Jaipur,E-marketplace,,Rajendra Lora,ThinkLab,,Pre series A,,Freshokartz,Online fruits and vegetables delivery company,"$150,000",,,,,
40,,2016.0,Bangalore,Social Media,,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba","Ruizheng Investment, Tej Kapoor, Krinshavataram Venkata Vinjamuri, Harsh Shah",,Pre series A,,Trell,Blogging platform that enables people to create visual collections of their travel and local experiences,"$2,000,000",,,,,
50,,2012.0,Mumbai,Cosmetics,,"Manish Taneja, Rahul Dash",Goldman Sachs,,Series C,,Purplle,Online makeup and beauty products retailer,"$30,000,000",,,,,
51,,2017.0,Mumbai,B2B,,"Sanjay Bhatia, Bharat Tanvi, Punit Java","Amplo, FJ Labs, Rogue One Capital",,Series A,,Freightwalla,Provides digital platform for businesses to plan and manage their international freight shipments online,"$4,000,000",,,,,
53,,2015.0,Mumbai,Jewellery,,"Jignesh Mehta, Shailen Mehta",Rajesh Ranavat,,Pre series A,,eJOHRI,Omnichannel marketplace for gems and jewellery,"$1,000,000",,,,,
68,,2015.0,Bangalore,Food,,"Vivek Gupta, Abhay Hanjura",Vertex Ventures,,Series D,,Licious,Online meat shop,"$25,000,000",,,,,
72,,2008.0,Jaipur,Automobile,,Amit Jain,"Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital",,Series D,,CarDekho,Enables people to buy and sell new/old cars.,"$70,000,000",,,,,
73,,2015.0,Bangalore,Logistics,,"Abhishek Bansal, Vaibhav Khandelwal","Flipkart, Eight Roads Ventures, NGP Capital, Qualcomm Ventures, Mirae Asset Naver Fund, World Bank-backed IFC",,Series D,,Shadowfax,A platform for delivery services,"$60,000,000",,,,,
75,,2015.0,Noida,Sports,,"Neeraj Aggarwala, Akhil Ramachandran","Inflection Point Ventures, SucSEED Venture Partners.",,Series B,,Sportido,It is a sports discovery app that helps to find people and places to play 700+ sports,Undisclosed,,,,,
78,,2019.0,Bangalore,Virtual Banking,,Paddy Padmanabhan,Saravanan Adiseshan,,Series A,,IndyFint,"It helps lenders to directly provide short-term loans to merchants, employees, and students","$2,100,000",,,,,
86,,2016.0,Delhi,Automobile & Technology,,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",Sequoia Capital,,Series B,,GoMechanic,Find automobile repair and maintenance service providers,"$5,000,000",,,,,
0,,,,,,,,250000,,,,,,TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,"Bangalore, Karnataka, India","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges."
1,,,,,,,,"₹40,000,000",,,,,,Happy Cow Dairy,"Agriculture, Farming",Seed,"Mumbai, Maharashtra, India",A startup which aggregates milk from dairy farmers in rural Maharashtra.
2,,,,,,,,"₹65,000,000",,,,,,MyLoanCare,"Credit, Financial Services, Lending, Marketplace",Series A,"Gurgaon, Haryana, India",Leading Online Loans Marketplace in India
3,,,,,,,,2000000,,,,,,PayMe India,"Financial Services, FinTech",Angel,"Noida, Uttar Pradesh, India",PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.
4,,,,,,,,—,,,,,,Eunimart,"E-Commerce Platforms, Retail, SaaS",Seed,"Hyderabad, Andhra Pradesh, India",Eunimart is a one stop solution for merchants to create a difference by selling globally.
